Sex_female,Sex_male,Embarked_C,Embarked_Q,Embarked_S,Embarked_nan,Fare,Age,Pclass,FamilySize
0.0,1.0,0.0,0.0,1.0,0.0,7.25,-0.5303766406838785,3.0,1.0
1.0,0.0,1.0,0.0,0.0,0.0,71.2833,0.571830994003175,1.0,1.0
1.0,0.0,0.0,0.0,1.0,0.0,7.925,-0.25482473201211503,3.0,0.0
1.0,0.0,0.0,0.0,1.0,0.0,53.1,0.36516706249935255,1.0,1.0
0.0,1.0,0.0,0.0,1.0,0.0,8.05,0.36516706249935255,3.0,0.0
0.0,1.0,0.0,1.0,0.0,0.0,8.4583,,3.0,0.0
0.0,1.0,0.0,0.0,1.0,0.0,51.8625,1.6740386286902287,1.0,0.0
0.0,1.0,0.0,0.0,1.0,0.0,21.075,-1.9081361840426954,3.0,4.0
1.0,0.0,0.0,0.0,1.0,0.0,11.1333,-0.1859367548441742,3.0,2.0
1.0,0.0,1.0,0.0,0.0,0.0,30.0708,-1.0814804580274051,2.0,1.0
1.0,0.0,0.0,0.0,1.0,0.0,16.7,-1.7703602297068137,3.0,2.0
1.0,0.0,0.0,0.0,1.0,0.0,26.55,1.949590537361992,1.0,0.0
0.0,1.0,0.0,0.0,1.0,0.0,8.05,-0.6681525950197601,3.0,0.0
0.0,1.0,0.0,0.0,1.0,0.0,31.275,0.6407189711711159,3.0,6.0
1.0,0.0,0.0,0.0,1.0,0.0,7.8542,-1.0814804580274051,3.0,0.0
1.0,0.0,0.0,0.0,1.0,0.0,16.0,1.7429266058581694,2.0,0.0
0.0,1.0,0.0,1.0,0.0,0.0,29.125,-1.9081361840426954,3.0,5.0
0.0,1.0,0.0,0.0,1.0,0.0,13.0,,2.0,0.0
1.0,0.0,0.0,0.0,1.0,0.0,18.0,0.08961515382758917,3.0,1.0
1.0,0.0,1.0,0.0,0.0,0.0,7.225,,3.0,0.0
0.0,1.0,0.0,0.0,1.0,0.0,26.0,0.36516706249935255,2.0,0.0
0.0,1.0,0.0,0.0,1.0,0.0,13.0,0.2962790853314117,2.0,0.0
1.0,0.0,0.0,1.0,0.0,0.0,8.0292,-1.0125924808594644,3.0,0.0
0.0,1.0,0.0,0.0,1.0,0.0,35.5,-0.11704877767623337,1.0,0.0
1.0,0.0,0.0,0.0,1.0,0.0,21.075,-1.4948083210350502,3.0,4.0
1.0,0.0,0.0,0.0,1.0,0.0,31.3875,0.571830994003175,3.0,6.0
0.0,1.0,1.0,0.0,0.0,0.0,7.225,,3.0,0.0
0.0,1.0,0.0,0.0,1.0,0.0,263.0,-0.7370405721877009,1.0,5.0
1.0,0.0,0.0,1.0,0.0,0.0,7.8792,,3.0,0.0
0.0,1.0,0.0,0.0,1.0,0.0,7.8958,,3.0,0.0
0.0,1.0,1.0,0.0,0.0,0.0,27.7208,0.7096069483390568,1.0,0.0
1.0,0.0,1.0,0.0,0.0,0.0,146.5208,,1.0,1.0
1.0,0.0,0.0,1.0,0.0,0.0,7.75,,3.0,0.0
0.0,1.0,0.0,0.0,1.0,0.0,10.5,2.500694354705519,2.0,0.0
0.0,1.0,1.0,0.0,0.0,0.0,82.1708,-0.11704877767623337,1.0,1.0
0.0,1.0,0.0,0.0,1.0,0.0,52.0,0.8473829026749384,1.0,1.0
0.0,1.0,1.0,0.0,0.0,0.0,7.2292,,3.0,0.0
0.0,1.0,0.0,0.0,1.0,0.0,8.05,-0.5992646178518193,3.0,0.0
1.0,0.0,0.0,0.0,1.0,0.0,18.0,-0.8059285493556418,3.0,2.0
1.0,0.0,1.0,0.0,0.0,0.0,11.2417,-1.0814804580274051,3.0,1.0
1.0,0.0,0.0,0.0,1.0,0.0,9.475,0.7096069483390568,3.0,1.0
1.0,0.0,0.0,0.0,1.0,0.0,21.0,-0.1859367548441742,2.0,1.0
0.0,1.0,1.0,0.0,0.0,0.0,7.8958,,3.0,0.0
1.0,0.0,1.0,0.0,0.0,0.0,41.5792,-1.8392482068747544,2.0,3.0
1.0,0.0,0.0,1.0,0.0,0.0,7.8792,-0.7370405721877009,3.0,0.0
0.0,1.0,0.0,0.0,1.0,0.0,8.05,,3.0,0.0
0.0,1.0,0.0,1.0,0.0,0.0,15.5,,3.0,1.0
1.0,0.0,0.0,1.0,0.0,0.0,7.75,,3.0,0.0
0.0,1.0,1.0,0.0,0.0,0.0,21.6792,,3.0,2.0
1.0,0.0,0.0,0.0,1.0,0.0,17.8,-0.8059285493556418,3.0,1.0
0.0,1.0,0.0,0.0,1.0,0.0,39.6875,-1.5636962982029912,3.0,5.0
0.0,1.0,0.0,0.0,1.0,0.0,7.8,-0.5992646178518193,3.0,0.0
1.0,0.0,1.0,0.0,0.0,0.0,76.7292,1.3295987428505243,1.0,1.0
1.0,0.0,0.0,0.0,1.0,0.0,26.0,-0.04816080050829252,2.0,1.0
0.0,1.0,1.0,0.0,0.0,0.0,61.9792,2.431806377537578,1.0,1.0
0.0,1.0,0.0,0.0,1.0,0.0,35.5,,1.0,0.0
1.0,0.0,0.0,0.0,1.0,0.0,10.5,-0.5992646178518193,2.0,0.0
0.0,1.0,1.0,0.0,0.0,0.0,7.2292,-0.08260478909226295,3.0,0.0
1.0,0.0,0.0,0.0,1.0,0.0,27.75,-1.7014722525388728,2.0,3.0
0.0,1.0,0.0,0.0,1.0,0.0,46.9,-1.2881443895312277,3.0,7.0
0.0,1.0,1.0,0.0,0.0,0.0,7.2292,-0.5303766406838785,3.0,0.0
1.0,0.0,0.0,0.0,0.0,1.0,80.0,0.571830994003175,1.0,0.0
0.0,1.0,0.0,0.0,1.0,0.0,83.475,1.054046834178761,1.0,1.0
0.0,1.0,0.0,0.0,1.0,0.0,27.9,-1.7703602297068137,3.0,5.0
0.0,1.0,1.0,0.0,0.0,0.0,27.7208,,1.0,0.0
0.0,1.0,1.0,0.0,0.0,0.0,15.2458,,3.0,2.0
1.0,0.0,0.0,0.0,1.0,0.0,10.5,-0.04816080050829252,2.0,0.0
0.0,1.0,0.0,0.0,1.0,0.0,8.1583,-0.7370405721877009,3.0,0.0
1.0,0.0,0.0,0.0,1.0,0.0,7.925,-0.8748165265235827,3.0,6.0
0.0,1.0,0.0,0.0,1.0,0.0,8.6625,-0.25482473201211503,3.0,2.0
0.0,1.0,0.0,0.0,1.0,0.0,10.5,0.15850313099553,2.0,0.0
1.0,0.0,0.0,0.0,1.0,0.0,46.9,-0.9437045036915235,3.0,7.0
0.0,1.0,0.0,0.0,1.0,0.0,73.5,-0.5992646178518193,2.0,0.0
0.0,1.0,1.0,0.0,0.0,0.0,14.4542,-0.25482473201211503,3.0,1.0
0.0,1.0,0.0,0.0,1.0,0.0,56.4958,0.15850313099553,3.0,0.0
0.0,1.0,0.0,0.0,1.0,0.0,7.65,-0.3237127091800559,3.0,0.0
0.0,1.0,0.0,0.0,1.0,0.0,7.8958,,3.0,0.0
0.0,1.0,0.0,0.0,1.0,0.0,8.05,,3.0,0.0
0.0,1.0,0.0,0.0,1.0,0.0,29.0,-1.9887351173291863,2.0,2.0
1.0,0.0,0.0,0.0,1.0,0.0,12.475,0.020727176659648322,3.0,0.0
0.0,1.0,0.0,0.0,1.0,0.0,9.0,-0.5303766406838785,3.0,0.0
0.0,1.0,0.0,0.0,1.0,0.0,9.5,-0.04816080050829252,3.0,0.0
1.0,0.0,0.0,1.0,0.0,0.0,7.7875,,3.0,0.0
0.0,1.0,0.0,0.0,1.0,0.0,47.1,-0.11704877767623337,1.0,0.0
1.0,0.0,0.0,0.0,1.0,0.0,10.5,-0.8748165265235827,2.0,0.0
1.0,0.0,0.0,0.0,1.0,0.0,15.85,0.22739110816347086,3.0,3.0
0.0,1.0,0.0,0.0,1.0,0.0,34.375,-0.9437045036915235,3.0,4.0
0.0,1.0,0.0,0.0,1.0,0.0,8.05,,3.0,0.0
1.0,0.0,0.0,0.0,1.0,0.0,263.0,-0.4614886635159376,1.0,5.0
0.0,1.0,0.0,0.0,1.0,0.0,8.05,-0.3926006863479967,3.0,0.0
0.0,1.0,0.0,0.0,1.0,0.0,8.05,-0.04816080050829252,3.0,0.0
0.0,1.0,0.0,0.0,1.0,0.0,7.8542,-0.6681525950197601,3.0,0.0
0.0,1.0,0.0,0.0,1.0,0.0,61.175,1.122934811346702,1.0,1.0
0.0,1.0,0.0,0.0,1.0,0.0,20.575,-0.25482473201211503,3.0,3.0
0.0,1.0,0.0,0.0,1.0,0.0,7.25,2.018478514529933,3.0,0.0
0.0,1.0,0.0,0.0,1.0,0.0,8.05,,3.0,0.0
0.0,1.0,1.0,0.0,0.0,0.0,34.6542,2.845134240545223,1.0,0.0
0.0,1.0,1.0,0.0,0.0,0.0,63.3583,-0.4614886635159376,1.0,1.0
1.0,0.0,0.0,0.0,1.0,0.0,23.0,0.2962790853314117,2.0,1.0
0.0,1.0,0.0,0.0,1.0,0.0,26.0,0.2962790853314117,2.0,1.0
1.0,0.0,0.0,0.0,1.0,0.0,7.8958,-0.11704877767623337,3.0,0.0
0.0,1.0,0.0,0.0,1.0,0.0,7.8958,,3.0,0.0
0.0,1.0,0.0,0.0,1.0,0.0,77.2875,-0.5992646178518193,1.0,1.0
0.0,1.0,0.0,0.0,1.0,0.0,8.6542,0.22739110816347086,3.0,0.0
0.0,1.0,0.0,0.0,1.0,0.0,7.925,0.5029430168352342,3.0,2.0
0.0,1.0,0.0,0.0,1.0,0.0,7.8958,-0.11704877767623337,3.0,0.0
1.0,0.0,0.0,0.0,1.0,0.0,7.65,-0.5992646178518193,3.0,0.0
0.0,1.0,0.0,0.0,1.0,0.0,7.775,,3.0,0.0
0.0,1.0,0.0,0.0,1.0,0.0,7.8958,0.571830994003175,3.0,0.0
1.0,0.0,0.0,1.0,0.0,0.0,24.15,,3.0,1.0
0.0,1.0,0.0,0.0,1.0,0.0,52.0,1.1918227885146426,1.0,0.0
1.0,0.0,1.0,0.0,0.0,0.0,14.4542,-1.0470364694434349,3.0,1.0
0.0,1.0,0.0,0.0,1.0,0.0,8.05,-0.5303766406838785,3.0,0.0
1.0,0.0,0.0,0.0,1.0,0.0,9.825,-0.6681525950197601,3.0,1.0
1.0,0.0,1.0,0.0,0.0,0.0,14.4583,-0.8748165265235827,3.0,0.0
0.0,1.0,0.0,0.0,1.0,0.0,7.925,-0.5992646178518193,3.0,0.0
0.0,1.0,0.0,1.0,0.0,0.0,7.75,2.8106902519612524,3.0,0.0
0.0,1.0,0.0,0.0,1.0,0.0,21.0,-0.04816080050829252,2.0,1.0
0.0,1.0,1.0,0.0,0.0,0.0,247.5208,-0.3926006863479967,1.0,1.0
1.0,0.0,0.0,0.0,1.0,0.0,31.275,-1.9081361840426954,3.0,6.0
0.0,1.0,0.0,0.0,1.0,0.0,73.5,-0.5992646178518193,2.0,2.0
0.0,1.0,0.0,0.0,1.0,0.0,8.05,,3.0,0.0
0.0,1.0,1.0,0.0,0.0,0.0,30.0708,0.19294711957950042,2.0,1.0
1.0,0.0,0.0,0.0,1.0,0.0,13.0,0.19294711957950042,2.0,0.0
0.0,1.0,0.0,0.0,1.0,0.0,77.2875,1.6740386286902287,1.0,1.0
0.0,1.0,1.0,0.0,0.0,0.0,11.2417,-1.219256412363287,3.0,1.0
0.0,1.0,0.0,1.0,0.0,0.0,7.75,,3.0,0.0
0.0,1.0,0.0,0.0,1.0,0.0,7.1417,-0.3926006863479967,3.0,0.0
1.0,0.0,1.0,0.0,0.0,0.0,22.3583,,3.0,2.0
0.0,1.0,0.0,0.0,1.0,0.0,6.975,1.054046834178761,3.0,0.0
0.0,1.0,1.0,0.0,0.0,0.0,7.8958,0.22739110816347086,3.0,0.0
0.0,1.0,0.0,0.0,1.0,0.0,7.05,-0.6681525950197601,3.0,0.0
1.0,0.0,0.0,0.0,1.0,0.0,14.5,1.1918227885146426,3.0,1.0
1.0,0.0,0.0,0.0,1.0,0.0,26.0,-0.04816080050829252,2.0,1.0
